item_id,hotel_id,city,rows,occ_cells,alerts,template,sg_on,state,options,sg_rows,dup_groups,neg_rows,pos_rows,hotel_name_hint,t_vn
656,teddy-homestay-vin-grand-world-phu-quoc,Phú Quốc,11,0,0,gọn(không_cột),False,gọn,11,0,0,0,4,Teddy 108 Homestay & Cafe - 3 stars - Grand World Phu Quoc,2026-09-25 22:22:30
658,sicily,Phú Quốc,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,Sicily Hotel Grand World Phú Quốc,2026-09-25 22:22:49
660,osen-amp-restaurant,Phú Quốc,10,0,0,gọn(không_cột),False,gọn,10,0,1,0,4,Osen Hotel Phu Quoc,2026-09-25 22:23:07
661,dong-tay,Phú Quốc,8,0,0,gọn(không_cột),False,gọn,8,0,0,0,4,Le Palmier Phu Quoc Hotel,2026-09-25 22:23:22
662,daisy-golden,Phú Quốc,9,0,0,gọn(không_cột),False,gọn,9,0,0,0,3,Golden Daisy Hotel Phu Quoc,2026-09-25 22:23:37
663,maris-beach-hotel-phu-quoc,Phú Quốc,10,0,0,gọn(không_cột),False,gọn,10,0,2,0,10,Maris Beach Hotel Phu Quoc,2026-09-25 22:23:50
664,tiny-house-phu-quoc-phu-quoc,Phú Quốc,6,0,0,gọn(không_cột),False,gọn,6,0,0,0,0,Tiny House Phu Quoc,2026-09-25 22:24:06
666,the-fern-phu-quoc-phu-quoc,Phú Quốc,9,0,0,gọn(không_cột),False,gọn,9,0,0,0,0,The Fern Hotel Sunset Town Phu Quoc,2026-09-25 22:24:26
667,phu-quoc-bambusa-resort,Phú Quốc,14,0,0,gọn(không_cột),False,gọn,14,0,3,0,14,Phu Quoc Bambusa Resort,2026-09-25 22:24:40
668,times-corner-sorrento-boutique,Phú Quốc,6,0,0,gọn(không_cột),False,gọn,6,0,2,0,6,Times Corner Sorrento Boutique Hotel,2026-09-25 22:24:55
669,bella-phu-quoc,Phú Quốc,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,0,BELLA HOTEL PHU QUOC - Free tour to take pictures of Sunset town,2026-09-25 22:25:09
670,sunset-hotel-phu-quoc-welcome-to-a-mixing-world-of-friends,Phú Quốc,8,0,0,gọn(không_cột),False,gọn,8,0,0,0,8,Sea Sunset Hotel Phu Quoc - Welcome to a mixing world of friends,2026-09-25 22:25:24
671,we-young-apartment-phu-quoc,Phú Quốc,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,0,We Young Apartments by HOFs - Fireworks & Ocean view,2026-09-25 22:25:39
672,sunset-bay-retreat-phu-quoc,Phú Quốc,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,SUNSET BAY RETREAT,2026-09-25 22:25:52
673,palo-santo-phu-quo,Phú Quốc,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,2,Palo Santo Hotel Phu Quoc,2026-09-25 22:26:05
674,rose-39-phu-quoc,Phú Quốc,2,0,0,gọn(không_cột),False,gọn,2,0,0,0,0,Rose Hotel Phú Quốc,2026-09-25 22:26:18
