item_id,hotel_id,city,rows,occ_cells,alerts,template,sg_on,state,options,sg_rows,dup_groups,neg_rows,pos_rows,hotel_name_hint,t_vn
1,alagon-western,Hồ Chí Minh,18,0,0,gọn(không_cột),False,gọn,18,0,6,0,18,Cochin Sang Hotel,2026-09-24 20:23:57
2,elite-sofea-saigon-and-spa,Hồ Chí Minh,16,0,0,gọn(không_cột),False,gọn,16,0,0,0,8,Elite SOFEA Saigon Hotel and Spa,2026-09-24 20:24:22
4,mai-gia-huy,Hồ Chí Minh,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,12,Nicecy Boutique Hotel,2026-09-24 20:24:41
5,little-saigon-boutique-hotel,Hồ Chí Minh,2,0,0,gọn(không_cột),False,gọn,2,0,0,0,2,Little Saigon Boutique Hotel,2026-09-24 20:24:56
6,m-village-nguyen-du,Hồ Chí Minh,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,0,Express by M Village Nguyễn Du,2026-09-24 20:25:09
7,eea-saigon,Hồ Chí Minh,1,0,0,gọn(không_cột),False,gọn,1,0,0,0,0,EEA Central Saigon Hotel,2026-09-24 20:25:23
8,dragon-palace,Hồ Chí Minh,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,4,Saigonciti Hotel A,2026-09-24 20:25:37
9,gemini-saigon-luxury,Hồ Chí Minh,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,0,Gemini Saigon LUXURY,2026-09-24 20:25:51
10,na-nue,Hồ Chí Minh,2,0,0,gọn(không_cột),False,gọn,2,0,0,0,1,Na Nue Hotel,2026-09-24 20:26:05
13,galaxy-boutique-hotel,Hồ Chí Minh,10,0,0,gọn(không_cột),False,gọn,10,0,0,0,0,Galaxy Boutique Sai Gon Central Hotel,2026-09-24 20:26:28
14,ipeace,Hồ Chí Minh,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,0,Ipeace Hotel - Bùi Viện Walking Street,2026-09-24 20:26:42
17,jan-hostel-central-point,Hồ Chí Minh,11,0,0,gọn(không_cột),False,gọn,11,0,0,0,11,Jan Hostel Central Point,2026-09-24 20:27:05
19,apec-wander,Hồ Chí Minh,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,6,APEC WANDER HOTEL,2026-09-24 20:27:25
20,la-maison-en-adagio-sleep-and-heal,Hồ Chí Minh,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,0,La Doma en Adagio - Sleep and Heal,2026-09-24 20:27:40
21,chez-mimosa-local-alley,Hồ Chí Minh,2,0,0,gọn(không_cột),False,gọn,2,0,0,0,2,Chez Mimosa Homestay,2026-09-24 20:27:57
22,memories-stay,Hồ Chí Minh,1,0,0,gọn(không_cột),False,gọn,1,0,0,0,0,Charming A Little Saigon Apartment - Heart of Vibrant District 1,2026-09-24 20:28:10
