g0,hotel,checkin,item_id,n,pmin,pmax,n_room,n_rate,n_occ,n_meal,n_pkg,n_bid,ratio,dims
791,the-imperial-vung-tau,2026-10-01,28,2,2393756.0,2646000.0,1,2,2,1,2,2,1.1053758194235335,hủy + thanh toán + tiện ích/gói
793,the-imperial-vung-tau,2026-10-01,28,2,3150000.0,3181500.0,1,1,1,1,2,2,1.01,tiện ích/gói
794,the-imperial-vung-tau,2026-10-01,28,2,4158000.0,4189500.0,1,1,2,1,2,2,1.0075757575757576,tiện ích/gói
797,the-imperial-vung-tau,2026-10-01,28,2,3843000.0,3874500.0,1,1,1,1,2,2,1.0081967213114753,tiện ích/gói
800,the-imperial-vung-tau,2026-10-01,28,3,5166000.0,5355001.0,1,2,1,1,3,3,1.0365855594270228,tiện ích/gói
801,the-imperial-vung-tau,2026-10-01,28,2,2289714.0,2583000.0,1,2,2,1,2,2,1.1280884861602802,hủy + thanh toán + tiện ích/gói
803,the-imperial-vung-tau,2026-10-01,28,2,3024000.0,3055500.0,1,1,1,1,2,2,1.0104166666666667,tiện ích/gói
804,the-imperial-vung-tau,2026-10-01,28,2,3150000.0,3181500.0,1,1,1,1,2,2,1.01,tiện ích/gói
805,the-imperial-vung-tau,2026-10-01,28,2,4347000.0,4378500.0,1,1,1,1,2,2,1.0072463768115942,tiện ích/gói
808,the-imperial-vung-tau,2026-10-01,28,2,6174000.0,6205500.0,1,1,2,1,2,2,1.0051020408163265,tiện ích/gói
810,the-imperial-vung-tau,2026-10-11,29,2,3969000.0,4000500.0,1,1,1,1,2,2,1.007936507936508,tiện ích/gói
812,the-imperial-vung-tau,2026-10-11,29,2,4095000.0,4095001.0,1,1,1,1,2,2,1.0000002442002442,tiện ích/gói
814,the-imperial-vung-tau,2026-10-11,29,2,2961000.0,2992500.0,1,1,1,1,2,2,1.0106382978723405,tiện ích/gói
817,the-imperial-vung-tau,2026-10-11,29,2,4914000.0,4945500.0,1,1,1,1,2,2,1.0064102564102564,tiện ích/gói
819,the-imperial-vung-tau,2026-10-11,29,2,5040000.0,5040001.0,1,1,1,1,2,2,1.0000001984126985,tiện ích/gói
821,the-imperial-vung-tau,2026-10-11,29,2,8001000.0,8032500.0,1,1,1,1,2,2,1.0039370078740157,tiện ích/gói
823,the-imperial-vung-tau,2026-10-11,29,2,8190000.0,8190001.0,1,1,1,1,2,2,1.000000122100122,tiện ích/gói
824,the-imperial-vung-tau,2026-10-11,29,2,2122205.0,2457000.0,1,2,2,1,2,2,1.157758086518503,hủy + thanh toán + tiện ích/gói
825,the-imperial-vung-tau,2026-10-11,29,2,2898000.0,2929500.0,1,1,1,1,2,2,1.0108695652173914,tiện ích/gói
829,the-imperial-vung-tau,2026-10-11,29,2,4221000.0,4252500.0,1,1,1,1,2,2,1.007462686567164,tiện ích/gói
831,the-imperial-vung-tau,2026-10-11,29,2,4347000.0,4347001.0,1,1,1,1,2,2,1.0000002300437083,tiện ích/gói
833,the-imperial-vung-tau,2026-10-11,29,2,3150000.0,3181500.0,1,1,1,1,2,2,1.01,tiện ích/gói
837,the-imperial-vung-tau,2026-10-11,29,2,4630500.0,4662000.0,1,1,1,1,2,2,1.0068027210884354,tiện ích/gói
839,the-imperial-vung-tau,2026-10-11,29,2,4725000.0,4725001.0,1,1,1,1,2,2,1.0000002116402116,tiện ích/gói
841,the-imperial-vung-tau,2026-10-11,29,2,3654000.0,3685500.0,1,1,1,1,2,2,1.0086206896551724,tiện ích/gói
843,the-imperial-vung-tau,2026-10-11,29,2,3780000.0,3780001.0,1,1,1,1,2,2,1.0000002645502646,tiện ích/gói
844,the-imperial-vung-tau,2026-10-11,29,2,2122205.0,2457000.0,1,2,2,1,2,2,1.157758086518503,hủy + thanh toán + tiện ích/gói
845,the-imperial-vung-tau,2026-10-11,29,2,2898000.0,2929500.0,1,1,1,1,2,2,1.0108695652173914,tiện ích/gói
852,the-imperial-vung-tau,2026-10-11,29,2,4000500.0,4032000.0,1,1,1,1,2,2,1.0078740157480315,tiện ích/gói
854,the-imperial-vung-tau,2026-10-11,29,2,4095000.0,4095001.0,1,1,1,1,2,2,1.0000002442002442,tiện ích/gói
856,the-imperial-vung-tau,2026-10-11,29,2,31311000.0,31342500.0,1,1,2,1,2,2,1.0010060362173039,tiện ích/gói
858,the-imperial-vung-tau,2026-10-11,29,2,31500000.0,31500001.0,1,1,1,1,2,2,1.0000000317460318,tiện ích/gói
861,the-imperial-vung-tau,2026-10-11,29,2,2122205.0,2520000.0,1,2,2,1,2,2,1.187444191301029,hủy + thanh toán + tiện ích/gói
862,the-imperial-vung-tau,2026-10-11,29,2,2898000.0,2929500.0,1,1,1,1,2,2,1.0108695652173914,tiện ích/gói
866,the-imperial-vung-tau,2026-10-11,29,2,3150000.0,3181500.0,1,1,1,1,2,2,1.01,tiện ích/gói
869,the-imperial-vung-tau,2026-10-11,29,2,4158000.0,4189500.0,1,1,2,1,2,2,1.0075757575757576,tiện ích/gói
872,the-imperial-vung-tau,2026-10-11,29,2,3843000.0,3874500.0,1,1,1,1,2,2,1.0081967213114753,tiện ích/gói
876,the-imperial-vung-tau,2026-10-11,29,2,5166000.0,5197500.0,1,1,1,1,2,2,1.0060975609756098,tiện ích/gói
878,the-imperial-vung-tau,2026-10-11,29,2,5355000.0,5355001.0,1,1,1,1,2,2,1.0000001867413633,tiện ích/gói
880,the-imperial-vung-tau,2026-10-11,29,2,3024000.0,3055500.0,1,1,1,1,2,2,1.0104166666666667,tiện ích/gói
883,the-imperial-vung-tau,2026-10-11,29,2,3150000.0,3181500.0,1,1,1,1,2,2,1.01,tiện ích/gói
885,the-imperial-vung-tau,2026-10-11,29,2,4347000.0,4378500.0,1,1,1,1,2,2,1.0072463768115942,tiện ích/gói
888,the-imperial-vung-tau,2026-10-11,29,2,6174000.0,6205500.0,1,1,2,1,2,2,1.0051020408163265,tiện ích/gói
892,the-imperial-vung-tau,2026-11-18,30,2,3812760.0,3843020.0,1,1,1,1,2,2,1.007936507936508,tiện ích/gói
893,the-imperial-vung-tau,2026-11-18,30,2,3933800.0,3933801.0,1,1,1,1,2,2,1.000000254207128,tiện ích/gói
895,the-imperial-vung-tau,2026-11-18,30,2,2122205.0,2541840.0,1,2,2,1,2,2,1.1977353742923045,hủy + thanh toán + tiện ích/gói
896,the-imperial-vung-tau,2026-11-18,30,2,2844440.0,2874700.0,1,1,1,1,2,2,1.0106382978723405,tiện ích/gói
899,the-imperial-vung-tau,2026-11-18,30,2,5688880.0,5719140.0,1,1,1,1,2,2,1.0053191489361701,tiện ích/gói
900,the-imperial-vung-tau,2026-11-18,30,2,5809920.0,5809921.0,1,1,1,1,2,2,1.0000001721194096,tiện ích/gói
903,the-imperial-vung-tau,2026-11-18,30,2,7686040.0,7716300.0,1,1,1,1,2,2,1.0039370078740157,tiện ích/gói
904,the-imperial-vung-tau,2026-11-18,30,2,7867600.0,7867601.0,1,1,1,1,2,2,1.000000127103564,tiện ích/gói
907,the-imperial-vung-tau,2026-11-18,30,2,2783920.0,2814180.0,1,1,1,1,2,2,1.0108695652173914,tiện ích/gói
911,the-imperial-vung-tau,2026-11-18,30,2,4115360.0,4145620.0,1,1,1,1,2,2,1.0073529411764706,tiện ích/gói
912,the-imperial-vung-tau,2026-11-18,30,2,4236400.0,4236401.0,1,1,1,1,2,2,1.000000236049476,tiện ích/gói
915,the-imperial-vung-tau,2026-11-18,30,2,3207560.0,3237820.0,1,1,1,1,2,2,1.009433962264151,tiện ích/gói
919,the-imperial-vung-tau,2026-11-18,30,2,4871860.0,4902120.0,1,1,1,1,2,2,1.0062111801242235,tiện ích/gói
920,the-imperial-vung-tau,2026-11-18,30,2,4962640.0,4962641.0,1,1,1,1,2,2,1.0000002015056502,tiện ích/gói
923,the-imperial-vung-tau,2026-11-18,30,2,3812760.0,3843020.0,1,1,1,1,2,2,1.007936507936508,tiện ích/gói
924,the-imperial-vung-tau,2026-11-18,30,2,3933800.0,3933801.0,1,1,1,1,2,2,1.000000254207128,tiện ích/gói
926,the-imperial-vung-tau,2026-11-18,30,2,2122205.0,2360280.0,1,2,2,1,2,2,1.1121828475571398,hủy + thanh toán + tiện ích/gói
927,the-imperial-vung-tau,2026-11-18,30,2,2783920.0,2814180.0,1,1,1,1,2,2,1.0108695652173914,tiện ích/gói
933,the-imperial-vung-tau,2026-11-18,30,2,4448220.0,4478480.0,1,1,1,1,2,2,1.0068027210884354,tiện ích/gói
934,the-imperial-vung-tau,2026-11-18,30,2,4539000.0,4539001.0,1,1,1,1,2,2,1.0000002203128442,tiện ích/gói
937,the-imperial-vung-tau,2026-11-18,30,2,30078440.0,30108700.0,1,1,2,1,2,2,1.0010060362173039,tiện ích/gói
938,the-imperial-vung-tau,2026-11-18,30,2,30260000.0,30260001.0,1,1,1,1,2,2,1.0000000330469265,tiện ích/gói
